Region,Latitude,Longitude,AgeRange,UserId,Label,Total_Quantity,Total_Value,Total_churn_period,StDev_Quantity,StDev_Value,StDev_churn_period,AvgTimeDelta,Recency,Unique_TransactionId,Unique_ItemId,Unique_churn_period,Total_Quantity_per_Unique_TransactionId,Total_Quantity_per_Unique_ItemId,Total_Quantity_per_Unique_churn_period,Total_Value_per_Unique_TransactionId,Total_Value_per_Unique_ItemId,Total_Value_per_Unique_churn_period,Total_churn_period_per_Unique_TransactionId,Total_churn_period_per_Unique_ItemId,Total_churn_period_per_Unique_churn_period
Pacific,45.192361,-119.326172,18-20,1899245,Nonchurner,27,3901,441,0.560611910581388,180.866499043329,0,3.19047619047619,21,21,18,1,1.22727272727273,1.42105263157895,13.5,177.318181818182,205.315789473684,1950.5,20.0454545454545,23.2105263157895,220.5
Pacific,45.192361,-119.326172,18-20,1841763,Churner,12,388,63,2,92.9157324317757,0,4.66666666666667,60,3,3,1,3,3,6,97,97,194,15.75,15.75,31.5
Pacific,45.192361,-119.326172,18-20,1721645,Churner,31,2448,483,0.572768051751073,82.2373649244875,0,0,37,23,16,1,1.29166666666667,1.82352941176471,15.5,102,144,1224,20.125,28.4117647058824,241.5
Pacific,45.192361,-119.326172,18-20,2048086,Churner,17,907,189,1.05409255338946,79.1624560283752,0,0,59,9,8,1,1.7,1.88888888888889,8.5,90.7,100.777777777778,453.5,18.9,21,94.5
Pacific,45.192361,-119.326172,18-20,1644227,Nonchurner,263,21909,4032,0.870532098420531,243.483518079912,0,0.5,0,192,86,1,1.36269430051813,3.02298850574713,131.5,113.518134715026,251.827586206897,10954.5,20.8911917098446,46.3448275862069,2016
Pacific,45.192361,-119.326172,21-25,2115344,Churner,14,1053,294,0,85.3140610391336,0,1.35714285714286,2,14,13,1,0.933333333333333,1,7,70.2,75.2142857142857,526.5,19.6,21,147
Pacific,45.192361,-119.326172,21-25,1893243,Churner,8,1127,126,0.516397779494322,158.575428949969,0,0,75,6,5,1,1.14285714285714,1.33333333333333,4,161,187.833333333333,563.5,18,21,63
Pacific,45.192361,-119.326172,21-25,2097282,Churner,13,561,231,0.404519917477945,25.4007873893704,0,0,52,11,9,1,1.08333333333333,1.3,6.5,46.75,56.1,280.5,19.25,23.1,115.5
Pacific,45.192361,-119.326172,21-25,1754803,Churner,26,2836,462,0.664498639244989,108.812599537838,0,0,94,22,18,1,1.1304347826087,1.36842105263158,13,123.304347826087,149.263157894737,1418,20.0869565217391,24.3157894736842,231
Pacific,45.192361,-119.326172,21-25,2051864,Churner,4,86,42,0,1.4142135623731,0,0,96,2,2,1,1.33333333333333,1.33333333333333,2,28.6666666666667,28.6666666666667,43,14,14,21
